,model,prior,duplicates_level,distortion_level,num_iter,precision_median,recall_median,f1score_median,precision_std,recall_std,f1score_std
104,No Empirical,Bounded NBD,Medium,High,10000,0.986927,0.80184805,0.8831194,0.004930227401339724,0.02023202688066361,0.012042624656549195
105,No Empirical,Bounded NBD,Medium,High,50000,0.9892037499999999,0.7782340999999999,0.8697634,0.0038866764467012154,0.024221921726756766,0.014785444202902122
106,No Empirical,Bounded NBD,Medium,Low,10000,1.0,0.9191919,0.9578947,0.0022838541185553284,0.0017678648582251538,0.0015844742768419363
107,No Empirical,Bounded NBD,Medium,Low,50000,1.0,0.9252525,0.9611752,0.0,0.0035463452702599024,0.0019153395329068441
108,No Empirical,Bounded NBD,Very High,High,10000,0.99674665,0.8222669,0.90130495,0.0011389141807695013,0.0028908958010860305,0.0015028537905212957
109,No Empirical,Bounded NBD,Very High,High,50000,0.9975884,0.832998,0.9076950500000001,0.0010680946263397332,0.003549631312789644,0.002183623978643125
110,No Empirical,Bounded NBD,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.0005170262492318288,0.0002797266204895657
111,No Empirical,Bounded NBD,Very High,Low,50000,1.0,0.9230769,0.96,0.0,0.0007571656757275514,0.0004096940650623584
112,No Empirical,Pitman,High,High,10000,1.0,0.76778575,0.8683074,0.0013162690018621406,0.009863619105960742,0.006450091927967936
113,No Empirical,Pitman,High,High,50000,1.0,0.7569944,0.8616924,0.0018552211263506626,0.009664274876852801,0.005952199807112449
114,No Empirical,Pitman,High,Low,10000,1.0,0.936901,0.9674227,0.0,0.002175454835654771,0.001159918352798108
115,No Empirical,Pitman,High,Low,50000,1.0,0.9392971,0.9686985,0.0,0.0028561248401507864,0.001520948706867216
116,No Empirical,Pitman,Low,High,10000,1.0,0.7833333,0.8785047,0.004563412249841113,0.026087461306685038,0.016233512726159867
117,No Empirical,Pitman,Low,High,50000,1.0,0.7666667,0.8679245,0.0,0.0183173812577189,0.011570768498622302
118,No Empirical,Pitman,Low,Low,10000,0.9836066,0.952381,0.9677419,0.009379353790438362,0.0,0.004560911317209269
119,No Empirical,Pitman,Low,Low,50000,0.9836066,0.952381,0.9677419,0.007763557285262497,0.0,0.003788579938276456
120,No Empirical,Pitman,Medium,High,10000,0.9898213,0.7946612,0.8810459500000001,0.004275215160541141,0.016172173594167668,0.010417053799015297
121,No Empirical,Pitman,Medium,High,50000,0.99201065,0.78542095,0.87757705,0.003718111351136147,0.02126104628151471,0.013441676157408057
122,No Empirical,Pitman,Medium,Low,10000,1.0,0.9191919,0.9578947,0.0009785927896729953,0.002951297538211424,0.00171660808765577
123,No Empirical,Pitman,Medium,Low,50000,1.0,0.9191919,0.9578947,0.0,0.004352631080453133,0.0023514626915972178
124,No Empirical,Pitman,Very High,High,10000,1.0,0.8179074500000001,0.8997786999999999,0.001103438394758128,0.0036573730003169286,0.0022728678819303465
125,No Empirical,Pitman,Very High,High,50000,0.99757675,0.824279,0.9025150500000001,0.0013417705816530226,0.00472387612767089,0.0029766372757119245
126,No Empirical,Pitman,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.00048171039156540125,0.00026069291553575054
127,No Empirical,Pitman,Very High,Low,50000,1.0,0.92241945,0.9596442000000001,0.0,0.0011565986495801208,0.0006253065440035625
128,No Empirical,uniform,High,High,10000,1.0,0.75179855,0.85831615,0.0011598226123443523,0.009221962643047471,0.0058970269869231574
129,No Empirical,uniform,High,High,50000,1.0,0.7434053,0.8528198,0.0015694695804885767,0.00872298795901564,0.005655146252369092
130,No Empirical,uniform,High,Low,10000,1.0,0.93570285,0.96678355,0.0,0.0015953489475082866,0.0008512491799825806
131,No Empirical,uniform,High,Low,50000,1.0,0.9408946,0.9695473,0.0,0.001454418003912669,0.0007725880656836892
132,No Empirical,uniform,Low,High,10000,0.440367,0.8,0.56890735,0.017799234270581762,0.0061058046871269875,0.015030780854348441
133,No Empirical,uniform,Low,High,50000,0.44294290000000003,0.8,0.5714286,0.021320378561216463,0.006105804687126981,0.017005663879982657
134,No Empirical,uniform,Low,Low,10000,0.3846312,0.952381,0.5479566,0.0237042890534598,0.0,0.02396334623431553
135,No Empirical,uniform,Low,Low,50000,0.4137931,0.952381,0.5769231,0.010261851551166783,0.0,0.009953151875264412
136,No Empirical,uniform,Medium,High,10000,0.9826302,0.8069815,0.88440125,0.006132862460591009,0.011700903472804747,0.006525223531825505
137,No Empirical,uniform,Medium,High,50000,0.98803865,0.7659138,0.8627683500000001,0.004532229757670691,0.020547639076056747,0.012384209840101128
138,No Empirical,uniform,Medium,Low,10000,1.0,0.9191919,0.9578947,0.001250609456646072,0.001767864858225154,0.0011218744961705512
139,No Empirical,uniform,Medium,Low,50000,1.0,0.9252525,0.9611752,0.0010652830564665504,0.004008375188553381,0.002248694807233491
140,No Empirical,uniform,Very High,High,10000,1.0,0.7971160500000001,0.88710575,0.0,0.0036181552188926528,0.002244112423132572
141,No Empirical,uniform,Very High,High,50000,1.0,0.80583505,0.8924790499999999,0.0,0.008573794584201249,0.00531990595435275
142,No Empirical,uniform,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.000620977335356381,0.0003360009804183357
143,No Empirical,uniform,Very High,Low,50000,1.0,0.9230769,0.96,0.0,0.0008391138668575568,0.0004539355850430392
144,None,Bounded NBD,High,High,10000,0.9954017500000001,0.7865707,0.878768,0.003452077804403875,0.005466457782734725,0.004096372321415385
145,None,Bounded NBD,High,High,50000,0.9970282500000001,0.8041567,0.89011945,0.002886660939248689,0.005477683092068364,0.00420961412895967
146,None,Bounded NBD,High,Low,10000,1.0,0.9365015999999999,0.9672097,0.0,0.0014098779379417112,0.0007514638818753229
147,None,Bounded NBD,High,Low,50000,1.0,0.9408946,0.9695473,0.0,0.0019148274984213422,0.0010168058155839521
148,None,Bounded NBD,Low,High,10000,0.8947368,0.85,0.8717949,0.018087096099048353,0.005129902020209257,0.009693509622980533
149,None,Bounded NBD,Low,High,50000,0.9107143,0.85,0.8793103,0.008155200168370107,0.0,0.003835993825402506
150,None,Bounded NBD,Low,Low,10000,0.9677419,0.952381,0.96,0.009254364636797909,0.0,0.004530788282511959
151,None,Bounded NBD,Low,Low,50000,0.9677419,0.952381,0.96,0.009002719613188223,0.0,0.004407827960425721
152,None,Bounded NBD,Medium,High,10000,0.9867126500000001,0.8377823,0.907068,0.00518004106476306,0.005818350441624571,0.0037242458225263744
153,None,Bounded NBD,Medium,High,50000,0.9880935500000001,0.8542094,0.9167122999999999,0.0043172160151354715,0.007680187988480167,0.005448597682600715
