,model,prior,duplicates,distortion,m1,m2,m3,date
194,Neither,BNBD4,8,0,1.0,0.9529145,0.9758896,Mon_Feb_12_10_07_03_2024
195,Neither,BNBD4,8,0,1.0,0.9510977,0.974936,Sat_Mar__9_07_15_03_2024
196,Neither,BNBD4,1,1,0.9799742,0.7016651,0.8177898,Tue_Feb_20_10_07_52_2024
197,Neither,BNBD4,8,1,0.9978696,0.7075529,0.8280007,Sat_Mar__9_07_15_20_2024
198,Neither,BNBD4,0.1,1,0.9864865,0.6985646,0.8179272,Sat_Mar__9_07_15_11_2024
199,Neither,BNBD4,0.1,1,0.9864865,0.6985646,0.8179272,Tue_Feb_20_10_07_50_2024
200,Neither,BNBD4,8,0,1.0,0.9517033,0.9752541,Wed_Mar__6_21_55_54_2024
201,Neither,BNBD4,100,0,1.0,0.9546304,0.9767886,Wed_Mar__6_21_55_57_2024
202,Neither,BNBD4,1,1,0.984556,0.7076781,0.8234661,Sat_Mar__9_07_15_16_2024
203,Neither,BNBD4,0.1,0,0.985,0.9471154,0.9656863,Sat_Mar__9_07_14_57_2024
204,Neither,BNBD4,1,1,0.9839021,0.706753,0.822611,Wed_Mar__6_21_56_05_2024
205,Neither,BNBD4,0.1,0,0.985,0.9471154,0.9656863,Wed_Mar__6_21_55_48_2024
206,Neither,BNBD4,0.1,1,0.9798658,0.6985646,0.8156425,Wed_Mar__6_21_56_01_2024
207,Neither,BNBD4,100,1,0.9992362,0.698292,0.8220878,Sat_Mar__9_07_15_23_2024
208,Neither,BNBD4,100,0,1.0,0.9534294,0.9761596,Sat_Mar__9_07_15_07_2024
209,Neither,BNBD4,100,0,0.9995812,0.955431,0.9770076,Mon_Feb_12_10_07_06_2024
210,Neither,BNBD4,100,1,0.999048,0.7001601,0.8233171,Tue_Feb_20_10_07_55_2024
211,Neither,BNBD4,100,1,0.9990443,0.6974913,0.8214679,Wed_Mar__6_21_56_13_2024
212,Neither,BNBD4,1,0,0.9961089,0.9521153,0.9736154,Sat_Mar__9_07_14_59_2024
213,Neither,BNBD4,8,1,0.9974549,0.710423,0.8298191,Tue_Feb_20_10_07_54_2024
214,Neither,BNBD4,1,0,0.9951362,0.9511855,0.9726646,Mon_Feb_12_10_06_58_2024
215,Neither,BNBD4,0.1,0,0.985,0.9471154,0.9656863,Mon_Feb_19_22_29_29_2024
216,Neither,BNBD4,1,0,0.9961203,0.9549047,0.9750771,Wed_Mar__6_21_55_51_2024
217,Neither,BNBD4,8,1,0.9978705,0.707855,0.8282078,Wed_Mar__6_21_56_09_2024
218,Neither,BNBD4,100,1,0.9986732,0.7030958,0.8252153,Sun_Mar_10_03_51_02_2024
219,Neither,BNBD4,0.1,1,0.9864865,0.6985646,0.8179272,Wed_Mar__6_22_25_04_2024
220,Neither,BNBD4,0.1,0,0.9850746,0.9519231,0.9682152,Sun_Mar_10_03_50_33_2024
221,Neither,BNBD4,8,0,1.0,0.9529145,0.9758896,Wed_Mar__6_22_24_50_2024
222,Neither,BNBD4,0.1,0,0.9850746,0.9519231,0.9682152,Wed_Mar__6_22_24_31_2024
223,Neither,BNBD4,1,1,0.9832905,0.7076781,0.8230231,Wed_Mar__6_22_24_52_2024
224,Neither,BNBD4,8,0,1.0,0.9526117,0.9757308,Sun_Mar_10_03_50_39_2024
225,Neither,BNBD4,100,0,1.0,0.9558313,0.9774169,Wed_Mar__6_22_24_58_2024
226,Neither,BNBD4,1,1,0.9890411,0.7412731,0.8474178,Wed_Mar_13_00_40_10_2024
227,Neither,BNBD4,8,1,0.9976511,0.7057402,0.8266832,Wed_Mar__6_22_25_11_2024
228,Neither,BNBD4,100,1,0.9988495,0.6950894,0.819734,Wed_Mar__6_22_25_14_2024
229,Neither,BNBD4,1,0,0.9951291,0.9497908,0.9719315,Sun_Mar_10_03_50_36_2024
230,Neither,BNBD4,1,0,0.9961071,0.9516504,0.9733714,Wed_Mar__6_22_24_44_2024
231,Neither,BNBD4,100,0,1.0,0.9550307,0.9769982,Sun_Mar_10_03_50_42_2024
232,Neither,BNBD4,0.1,1,1.0,0.75,0.8571429,Wed_Mar_13_00_40_08_2024
233,Neither,BNBD4,8,1,0.9978605,0.7045317,0.8259253,Sun_Mar_10_03_50_58_2024
234,Neither,BNBD4,100,0,1.0,0.9556979,0.9773472,Wed_Mar_13_00_40_32_2024
235,Neither,BNBD4,0.1,1,0.9798658,0.6985646,0.8156425,Wed_Mar__6_22_25_04_2024
236,Neither,BNBD4,1,0,0.9961483,0.9618782,0.9787133,Wed_Mar__6_22_24_55_2024
237,Neither,BNBD4,1,1,0.984546,0.7072155,0.8231494,Sat_Mar__9_04_20_44_2024
238,Neither,BNBD4,100,0,1.0,0.9546304,0.9767886,Fri_Mar_15_12_06_38_2024
239,Neither,BNBD4,8,0,1.0,0.9521575,0.9754925,Sat_Mar__9_04_20_27_2024
240,Neither,BNBD4,8,1,0.99786,0.7043807,0.8258213,Wed_Mar_13_00_40_45_2024
241,Neither,BNBD4,8,1,0.9978687,0.7072508,0.8277935,Sat_Mar__9_04_20_46_2024
242,Neither,BNBD4,1,1,0.9846547,0.7123034,0.8266237,Wed_Mar__6_22_25_04_2024
243,Neither,BNBD4,8,0,0.9998408,0.9509463,0.9747808,Wed_Mar_13_00_40_29_2024
244,Neither,BNBD4,8,0,1.0,0.9521575,0.9754925,Wed_Mar__6_22_24_56_2024
245,Neither,BNBD4,100,1,0.9982873,0.7000267,0.8229665,Wed_Mar_13_00_40_49_2024
246,Neither,BNBD4,8,1,0.9978728,0.7086103,0.8287254,Wed_Mar__6_22_25_13_2024
247,Neither,BNBD4,0.1,1,0.9863946,0.6937799,0.8146067,Wed_Mar_13_00_40_36_2024
248,Neither,BNBD4,1,0,0.996592,0.9516504,0.9736029,Wed_Mar_13_00_40_22_2024
249,Neither,BNBD4,1,0,0.9975799,0.958159,0.9774721,Sat_Mar__9_04_20_20_2024
250,Neither,BNBD4,100,0,1.0,0.9546304,0.9767886,Wed_Mar__6_22_25_00_2024
251,Neither,BNBD4,8,0,1.0,0.9518547,0.9753335,Fri_Mar_15_12_06_24_2024
252,Neither,BNBD4,100,1,0.9994295,0.7013611,0.8242766,Wed_Mar__6_22_25_16_2024
253,Neither,BNBD4,0.1,0,0.9753695,0.9519231,0.9635036,Wed_Mar__6_22_24_52_2024
254,Neither,BNBD4,1,1,0.9826923,0.7090657,0.8237507,Wed_Mar_13_00_40_40_2024
255,Neither,BNBD4,100,0,1.0,0.9546304,0.9767886,Sat_Mar__9_04_20_30_2024
256,Neither,BNBD4,1,0,0.9951946,0.962808,0.9787335,Fri_Mar_15_12_06_20_2024
257,Neither,BNBD4,0.1,0,0.980198,0.9519231,0.9658537,Sat_Mar__9_04_20_16_2024
258,Neither,BNBD4,0.1,0,0.985,0.9471154,0.9656863,Wed_Mar_13_00_40_19_2024
259,Neither,BNBD4,100,1,0.9988587,0.7006939,0.8236217,Sat_Mar__9_04_20_51_2024
260,Neither,BNBD4,0.1,1,0.98,0.7033493,0.8189415,Sat_Mar__9_04_20_37_2024
261,Neither,BNBD4,1,1,0.9826923,0.7090657,0.8237507,Wed_Mar_13_00_40_40_2024
262,No Empiri,Pitman,1,1,0.9405594,0.8709528,0.9044188,Fri_Mar__8_22_54_23_2024
263,No Empiri,Pitman,0.1,0,0.9754902,0.9567308,0.9660194,Wed_Mar__6_21_57_16_2024
264,No Empiri,Pitman,1,0,0.9932918,0.9637378,0.9782916,Wed_Mar__6_21_57_19_2024
265,No Empiri,Pitman,100,1,0.9954511,0.8760342,0.9319327,Wed_Mar__6_21_57_49_2024
266,No Empiri,Pitman,0.1,1,0.5192878,0.8373206,0.6410256,Wed_Mar__6_21_57_34_2024
267,No Empiri,Pitman,0.1,1,0.5225225,0.8325359,0.6420664,Fri_Mar__8_22_54_08_2024
