,model,prior,duplicates_level,distortion_level,num_iter,precision_mean,recall_mean,f1score_mean,precision_std,recall_std,f1score_std
28,Both,Pitman,Very High,High,10000,0.9985266899999999,0.8124748399999999,0.8958522500000001,0.001736299574230677,0.016545387728128524,0.009963708325428354
29,Both,Pitman,Very High,High,50000,0.9992260399999999,0.727196505,0.8414579249999999,0.0017937448919127838,0.029916648881754552,0.01930378736555616
30,Both,Pitman,Very High,Low,10000,1.0,0.921992105,0.95941291,0.0,0.0005753345969040149,0.0003113909269205174
31,Both,Pitman,Very High,Low,50000,1.0,0.92307691,0.959999535,0.0,0.001314915789538995,0.00071068706287793
32,Both,uniform,High,High,10000,0.99909205,0.695883305,0.8199150550000001,0.0014914483389962608,0.033767394308157755,0.023680924343011753
33,Both,uniform,High,High,50000,0.99993804,0.65015987,0.78793151,0.00027709354377177155,0.010458698892163745,0.007596634909366825
34,Both,uniform,High,Low,10000,1.0,0.9367012899999999,0.967315725,0.0,0.0013925004809221568,0.0007425542715412204
35,Both,uniform,High,Low,50000,1.0,0.94057508,0.96937598,0.0,0.0025443160604312503,0.0013510870456200025
36,Both,uniform,Low,High,10000,0.49330822999999996,0.8150000199999999,0.613101405,0.04401466052824842,0.014204029574055064,0.034002966164585896
37,Both,uniform,Low,High,50000,0.5181340299999999,0.8158333649999999,0.63355734,0.019811285548423124,0.0037267874160595476,0.014680296919785145
38,Both,uniform,Low,Low,10000,0.41759702,0.9523810000000001,0.5802487199999999,0.02326627962989402,0.0,0.022399841735192782
39,Both,uniform,Low,Low,50000,0.426499175,0.9523810000000001,0.5890508,0.012846410702067098,0.0,0.012206437472993699
40,Both,uniform,Medium,High,10000,0.9795172300000001,0.7708419,0.8624654700000001,0.008994696625532634,0.023235238905774586,0.012268626354289146
41,Both,uniform,Medium,High,50000,0.988085285,0.7490759899999999,0.8521359050000001,0.0015998918691339863,0.0022689936171421212,0.0015240603622784787
42,Both,uniform,Medium,Low,10000,0.99978118,0.9236363400000001,0.9601991200000001,0.0006735155494629556,0.003115923478960435,0.001791064058803277
43,Both,uniform,Medium,Low,50000,0.999784485,0.9293939099999999,0.963300465,0.0006633428892439703,0.003792214172541079,0.001889009421913753
44,Both,uniform,Very High,High,10000,1.0,0.763212615,0.8646195600000001,0.0,0.05526953170315995,0.03652636614365602
45,Both,uniform,Very High,High,50000,1.0,0.670757875,0.802842555,0.0,0.015470947327707844,0.01090236653616643
46,Both,uniform,Very High,Low,10000,1.0,0.921334645,0.9590566800000001,0.0,0.0009604857567506922,0.0005205480205362406
47,Both,uniform,Very High,Low,50000,1.0,0.92268244,0.9597863,0.0,0.0010959970775988599,0.0005926753278233222
48,No Diri,Bounded NBD,High,High,10000,0.998290635,0.8148681050000001,0.8972961899999999,0.0017295714313317438,0.0036252792081910043,0.0021605212219325777
49,No Diri,Bounded NBD,High,High,50000,0.99932631,0.82865707,0.90602094,0.0011302293693154367,0.0032524474426919785,0.0020113874835153184
50,No Diri,Bounded NBD,High,Low,10000,1.0,0.9365814849999999,0.9672518849999999,0.0,0.0013314885584720887,0.0007101459044116091
51,No Diri,Bounded NBD,High,Low,50000,1.0,0.9402156500000001,0.9691862499999999,0.0,0.001377959056568439,0.0007320021775205138
52,No Diri,Bounded NBD,Low,High,10000,0.83295989,0.85,0.8413163499999999,0.01637462621953151,0.0,0.008367996534195989
53,No Diri,Bounded NBD,Low,High,50000,0.8361554800000001,0.85,0.84299824,0.008896744955177349,0.0,0.004521009039490813
54,No Diri,Bounded NBD,Low,Low,10000,0.8601811400000001,0.9523810000000001,0.9037824950000001,0.023105014298231346,0.0,0.012682790947267035
55,No Diri,Bounded NBD,Low,Low,50000,0.8653794850000001,0.9523810000000001,0.9067451500000001,0.013593589566342802,0.0,0.007463099705568901
56,No Diri,Bounded NBD,Medium,High,10000,0.974184825,0.8596509149999999,0.913334305,0.00504464339889092,0.004628839226696622,0.004080629554818436
57,No Diri,Bounded NBD,Medium,High,50000,0.9780253200000001,0.8630390200000001,0.916935585,0.0049473247533761795,0.003890352415317712,0.0036933217398398602
58,No Diri,Bounded NBD,Medium,Low,10000,0.9997835500000001,0.9238383600000001,0.96030694,0.0006662207880433131,0.0038274520061482922,0.0018732453362799947
59,No Diri,Bounded NBD,Medium,Low,50000,0.9995652100000001,0.9272727,0.96205739,0.0008921820948780637,0.00444540649778243,0.002425368766947421
60,No Diri,Bounded NBD,Very High,High,10000,0.99523136,0.85348759,0.918919975,0.0023829292538474806,0.004483193523054495,0.0030503678445782793
61,No Diri,Bounded NBD,Very High,High,50000,0.9947542200000001,0.86452045,0.92507329,0.001807895217503941,0.0030464116863338753,0.002045863443222876
62,No Diri,Bounded NBD,Very High,Low,10000,1.0,0.9217291249999999,0.9592703,0.0,0.0010552913166639302,0.0005721832481589105
63,No Diri,Bounded NBD,Very High,Low,50000,1.0,0.9228796749999999,0.95989292,0.0,0.0012272145957732813,0.0006635558165551406
64,No Diri,Pitman,High,High,10000,0.99613923,0.81406875,0.89594305,0.0018606202548442667,0.0035879975085803422,0.00233490297296438
65,No Diri,Pitman,High,High,50000,0.99599419,0.8248601150000001,0.902382175,0.0006492019723840845,0.003143344581689499,0.0019654204928087554
66,No Diri,Pitman,High,Low,10000,1.0,0.93666135,0.96729379,0.0,0.0020908629785959722,0.0011141490479048628
67,No Diri,Pitman,High,Low,50000,1.0,0.9409744449999999,0.9695889449999999,0.0,0.001716983881993771,0.000911183837523017
68,No Diri,Pitman,Low,High,10000,0.8918509950000001,0.83666664,0.863314975,0.013630865043232443,0.00683986936027903,0.007186403215127511
69,No Diri,Pitman,Low,High,50000,0.89274367,0.839166645,0.8651036599999999,0.0032803890613446736,0.008156024394176014,0.00452385994587531
70,No Diri,Pitman,Low,Low,10000,0.885178885,0.9523810000000001,0.91731847,0.029309625974005164,0.0,0.015352872689400717
71,No Diri,Pitman,Low,Low,50000,0.8708813300000001,0.9523810000000001,0.9097954149999999,0.0070969640539644205,0.0,0.003842701506858904
72,No Diri,Pitman,Medium,High,10000,0.9846736899999999,0.8568788350000001,0.916333915,0.004179761537254948,0.004854640156676459,0.003679825736044821
73,No Diri,Pitman,Medium,High,50000,0.988704875,0.862423,0.9212531549999999,0.0029024598641542135,0.003331054661499085,0.0026274948145524504
74,No Diri,Pitman,Medium,Low,10000,0.9992365,0.9230302800000001,0.9596187300000001,0.0012803318348648513,0.003643441525694885,0.002005049962653503
75,No Diri,Pitman,Medium,Low,50000,0.999672965,0.92858583,0.96281444,0.0007987251192237028,0.0044102356305471165,0.002537942669378589
76,No Diri,Pitman,Very High,High,10000,0.99593534,0.8544936200000001,0.9198040949999999,0.0011516490631401292,0.004044525839830018,0.002489153492861861
77,No Diri,Pitman,Very High,High,50000,0.99590848,0.864520465,0.9255732099999999,0.001703737006391341,0.0017271358552223663,0.001123460107225134
78,No Diri,Pitman,Very High,Low,10000,1.0,0.921761995,0.9592880600000001,0.0,0.0011287220787360836,0.0006117788320695781
79,No Diri,Pitman,Very High,Low,50000,1.0,0.9229454199999999,0.95992848,0.0,0.0012364508484495264,0.0006684903539043015
80,No Diri,uniform,High,High,10000,0.99945559,0.8052358099999999,0.891891755,0.0013421215212451804,0.0029714614205099263,0.0019461608097333892
81,No Diri,uniform,High,High,50000,1.0,0.8153876950000001,0.89830323,0.0,0.0034256763578775344,0.0020791930737668485
82,No Diri,uniform,High,Low,10000,1.0,0.9363019249999999,0.967102955,0.0,0.0010645407731802298,0.0005676608480375217
83,No Diri,uniform,High,Low,50000,1.0,0.9403754,0.969270625,0.0,0.0019439886116192685,0.0010315327292177274
84,No Diri,uniform,Low,High,10000,0.304424525,0.85,0.4481012,0.014718987549737996,0.0,0.01592662094762959
