,model,prior,duplicates_level,distortion_level,num_iter,precision_median,recall_median,f1score_median,precision_std,recall_std,f1score_std,precision_lower_bound,precision_upper_bound,recall_lower_bound,recall_upper_bound,f1score_lower_bound,f1score_upper_bound
40,Both,uniform,Medium,High,10000,0.98115745,0.7741273,0.8625219,0.008994696625532634,0.023235238905774586,0.012268626354289146,0.963696255,0.99226717,0.744199195,0.820379835,0.847924625,0.88638154
41,Both,uniform,Medium,High,50000,0.9891304,0.7494867,0.8518086,0.0015998918691339863,0.0022689936171421212,0.0015240603622784787,0.9864305275,0.9905754250000001,0.7453799,0.752618035,0.8497614375,0.8548435375
42,Both,uniform,Medium,Low,10000,1.0,0.9232323,0.960084,0.0006735155494629556,0.003115923478960435,0.001791064058803277,0.99781156,1.0,0.9191919,0.9292929,0.95736592,0.9633508
43,Both,uniform,Medium,Low,50000,1.0,0.9292929,0.9633508,0.0006633428892439703,0.003792214172541079,0.001889009421913753,0.9978446175,1.0,0.9232323,0.93545451,0.960084,0.9661206875
44,Both,uniform,Very High,High,10000,1.0,0.7692824,0.8695980000000001,0.0,0.05526953170315995,0.03652636614365602,1.0,1.0,0.6593058725000001,0.822300435,0.79465897,0.9024860474999999
45,Both,uniform,Very High,High,50000,1.0,0.665996,0.7995167000000001,0.0,0.015470947327707844,0.01090236653616643,1.0,1.0,0.6555164125,0.71138497,0.79191653,0.83135366
46,Both,uniform,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.0009604857567506922,0.0005205480205362406,1.0,1.0,0.9197896,0.9224523225,0.9582192,0.95966199
47,Both,uniform,Very High,Low,50000,1.0,0.92241945,0.9596442000000001,0.0,0.0010959970775988599,0.0005926753278233222,1.0,1.0,0.921762,0.9250493,0.9592884,0.9610656
48,No Diri,Bounded NBD,High,High,10000,0.9985408,0.8153477,0.89734015,0.0017295714313317438,0.0036252792081910043,0.0021605212219325777,0.9951376749999999,1.0,0.8092925975,0.82178257,0.8934109325,0.9008206275
49,No Diri,Bounded NBD,High,High,50000,1.0,0.8289369,0.90622945,0.0011302293693154367,0.0032524474426919785,0.0020113874835153184,0.99710511,1.0,0.8233413,0.833733,0.9024898925,0.9089524525
50,No Diri,Bounded NBD,High,Low,10000,1.0,0.936901,0.9674227,0.0,0.0013314885584720887,0.0007101459044116091,1.0,1.0,0.9344648649999999,0.9384984,0.9661221550000001,0.9682736
51,No Diri,Bounded NBD,High,Low,50000,1.0,0.9400958,0.9691231,0.0,0.001377959056568439,0.0007320021775205138,1.0,1.0,0.9384984,0.942492,0.9682736,0.9703947
52,No Diri,Bounded NBD,Low,High,10000,0.8360656,0.85,0.8429752,0.01637462621953151,0.0,0.008367996534195989,0.80288318,0.8575635699999999,0.85,0.85,0.8257572575,0.8537500225
53,No Diri,Bounded NBD,Low,High,50000,0.8360656,0.85,0.8429752,0.008896744955177349,0.0,0.004521009039490813,0.8225806,0.85,0.85,0.85,0.8360656,0.85
54,No Diri,Bounded NBD,Low,Low,10000,0.8571429,0.952381,0.9022556,0.023105014298231346,0.0,0.012682790947267035,0.8273401625000001,0.9026458625,0.952381,0.952381,0.8854575,0.9268336425
55,No Diri,Bounded NBD,Low,Low,50000,0.8633540500000001,0.952381,0.90567325,0.013593589566342802,0.0,0.007463099705568901,0.8450704,0.8823529,0.952381,0.952381,0.8955224,0.9160305
56,No Diri,Bounded NBD,Medium,High,10000,0.9732906,0.8583162,0.9125681999999999,0.00504464339889092,0.004628839226696622,0.004080629554818436,0.9652778,0.9824327675,0.8541067824999999,0.869661235,0.90729589,0.9207064975
57,No Diri,Bounded NBD,Medium,High,50000,0.97894735,0.8634497000000001,0.91593875,0.0049473247533761795,0.003890352415317712,0.0036933217398398602,0.9688094675,0.98601553,0.85616013,0.869661235,0.911033195,0.923718625
58,No Diri,Bounded NBD,Medium,Low,10000,1.0,0.9232323,0.960084,0.0006662207880433131,0.0038274520061482922,0.0018732453362799947,0.997835265,1.0,0.9191919,0.93141411,0.9578947,0.9634804075
59,No Diri,Bounded NBD,Medium,Low,50000,1.0,0.9272727,0.9622642,0.0008921820948780637,0.00444540649778243,0.002425368766947421,0.9978166,1.0,0.9232323,0.93545451,0.9590766,0.9666498875
60,No Diri,Bounded NBD,Very High,High,10000,0.99492305,0.8527833499999999,0.91818675,0.0023829292538474806,0.004483193523054495,0.0030503678445782793,0.9906101475,0.99925957,0.84634473,0.86197184,0.9150931825,0.92555115
61,No Diri,Bounded NBD,Very High,High,50000,0.9945778000000001,0.86519115,0.925448,0.001807895217503941,0.0030464116863338753,0.002045863443222876,0.991861485,0.99812203,0.8587692474999999,0.8685446,0.921533385,0.9286820475
