,model,prior,duplicates_level,distortion_level,num_iter,replicates,precision,recall,f1score
245,Both,uniform,Very High,High,10000,19,1.0,0.6532529,0.7902637
246,Both,uniform,High,High,10000,19,1.0,0.7074341,0.8286517
247,Both,uniform,Medium,Low,10000,19,1.0,0.9232323,0.960084
248,Both,uniform,High,Low,10000,4,1.0,0.9353035,0.9665704
249,Both,uniform,Very High,Low,10000,4,1.0,0.921762,0.9592884
250,Both,uniform,Low,Low,10000,4,0.4,0.952381,0.5633803
251,Both,uniform,High,High,10000,4,0.9966405,0.7114309,0.8302239
252,Both,uniform,Medium,Low,10000,4,1.0,0.9232323,0.960084
253,Both,uniform,Very High,High,10000,4,1.0,0.8195842,0.9008478
254,Both,uniform,Low,High,10000,4,0.5517241,0.8,0.6530612
255,Both,uniform,Medium,High,10000,4,0.9838275,0.7494867,0.8508159
256,Both,uniform,Medium,Low,10000,6,1.0,0.9272727,0.9622642
257,Both,uniform,Low,Low,10000,6,0.4477612,0.952381,0.6091371
258,Both,uniform,High,Low,10000,6,1.0,0.936901,0.9674227
259,Both,uniform,Low,High,10000,6,0.5444444,0.8166667,0.6533333
260,Both,uniform,Very High,High,10000,6,1.0,0.8195842,0.9008478
261,Both,uniform,High,High,10000,6,1.0,0.7673861,0.8683853
262,Both,uniform,Very High,Low,10000,6,1.0,0.921762,0.9592884
263,Both,uniform,Medium,High,10000,6,0.9864499,0.7474333,0.8504673
264,Both,uniform,Medium,Low,10000,8,1.0,0.9232323,0.960084
265,Both,uniform,High,Low,10000,8,1.0,0.936901,0.9674227
266,Both,uniform,Low,Low,10000,8,0.4109589,0.952381,0.5741627
267,Both,uniform,High,High,10000,8,1.0,0.7090328,0.8297474
268,Both,uniform,Low,High,10000,8,0.48,0.8,0.6
269,Both,uniform,Very High,Low,10000,8,1.0,0.921762,0.9592884
270,Both,uniform,Medium,High,10000,8,0.9945504,0.7494867,0.8548009
271,Both,uniform,Very High,High,10000,8,1.0,0.8215962,0.9020619
272,Both,uniform,Very High,High,10000,10,1.0,0.7686117,0.8691695
273,Both,uniform,Medium,Low,10000,10,1.0,0.9292929,0.9633508
274,Both,uniform,Low,High,10000,10,0.3984375,0.85,0.5425532
275,Both,uniform,Very High,Low,10000,10,1.0,0.921762,0.9592884
276,Both,uniform,Low,Low,10000,10,0.4347826,0.952381,0.5970149
277,Both,uniform,High,High,10000,10,0.9966555,0.7146283,0.8324022
278,Both,uniform,High,Low,10000,10,1.0,0.9353035,0.9665704
279,Both,uniform,Medium,High,10000,10,0.9897436,0.7926078,0.8802737
280,Both,uniform,Very High,Low,10000,12,1.0,0.921762,0.9592884
281,Both,uniform,Medium,Low,10000,12,1.0,0.9232323,0.960084
282,Both,uniform,High,Low,10000,12,1.0,0.9337061,0.9657166
283,Both,uniform,Medium,High,10000,12,0.9614458,0.8193018,0.8847007
284,Both,uniform,Low,Low,10000,12,0.4054054,0.952381,0.5687204
285,Both,uniform,High,High,10000,12,1.0,0.7138289,0.8330224
286,Both,uniform,Very High,High,10000,12,1.0,0.7545272,0.8600917
287,Both,uniform,Low,High,10000,12,0.3669065,0.85,0.5125628
288,Both,uniform,Very High,Low,10000,14,1.0,0.921762,0.9592884
289,Both,uniform,Low,High,10000,14,0.5052632,0.8,0.6193548
290,Both,uniform,High,High,10000,14,1.0,0.7146283,0.8335664
