,model,cluster_size,num_iter,duplicates,distortion,m1,m2,m3,date
122,Both,2,10000,100,0,1.0,0.312952,0.4767151,Wed_Mar__6_11_44_15_2024
123,Both,2,10000,1,0,0.9962547,0.5373737,0.6981627,Wed_Mar__6_11_22_06_2024
124,Both,2,10000,100,0,1.0,0.312952,0.4767151,Wed_Mar__6_11_22_08_2024
125,Both,2,10000,100,0,1.0,0.3142669,0.4782391,Wed_Mar__6_12_05_54_2024
126,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_13_21_20_2024
127,Both,2,10000,0.1,0,0.9655172,0.8888889,0.9256198,Wed_Mar__6_12_05_43_2024
128,Both,2,10000,1,0,1.0,0.5353535,0.6973684,Wed_Mar__6_12_30_02_2024
129,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_13_21_25_2024
130,Both,2,10000,8,0,1.0,0.3378594,0.5050746,Wed_Mar__6_11_44_12_2024
131,Both,2,10000,0.1,0,0.9655172,0.8888889,0.9256198,Wed_Mar__6_12_29_58_2024
132,Both,2,50000,0.1,1,1.0,0.7333333,0.8461538,Tue_Mar__5_19_35_21_2024
133,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Tue_Mar__5_13_55_22_2024
134,Both,2,50000,1,1,0.9917695,0.4948665,0.660274,Tue_Mar__5_17_00_04_2024
135,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_05_54_15_2024
136,Both,2,50000,8,1,0.9946237,0.2957634,0.4559458,Tue_Mar__5_22_08_27_2024
137,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Wed_Mar__6_05_54_16_2024
138,Both,2,50000,8,1,0.9919355,0.294964,0.4547135,Tue_Mar__5_17_00_08_2024
139,Both,2,50000,100,1,1.0,0.2937626,0.4541213,Tue_Mar__5_13_55_29_2024
140,Both,2,50000,8,1,0.9918699,0.2925659,0.4518519,Wed_Mar__6_03_20_19_2024
141,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_00_47_33_2024
142,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_13_55_20_2024
143,Both,2,50000,100,1,1.0,0.2930919,0.4533195,Wed_Mar__6_03_20_21_2024
