,model,prior,duplicates_level,distortion_level,num_iter,precision,recall,f1score
180,No Empirical,uniform,Low,Low,50000,0.2820513,0.9519231,0.4351648
181,No Empirical,uniform,Low,High,50000,0.2422452,0.784689,0.3702032
182,No Empirical,uniform,High,Low,50000,1.0,0.9495836,0.9741399
183,No Empirical,uniform,Medium,High,50000,0.9584323,0.746531,0.8393136
184,No Empirical,Bounded NBD,Low,Low,50000,0.9753695,0.9519231,0.9635036
185,No Empirical,Bounded NBD,Very High,Low,50000,1.0,0.9538297,0.9763693
186,No Empirical,Bounded NBD,High,High,50000,0.9956443,0.8287009,0.9045342
187,No Empirical,Bounded NBD,Medium,High,50000,0.974423,0.7224792,0.8297477
188,No Empirical,Bounded NBD,Low,High,50000,0.95,0.7272727,0.8238482
189,No Empirical,Bounded NBD,High,Low,50000,1.0,0.9510977,0.974936
190,No Empirical,Bounded NBD,Medium,Low,50000,0.9961409,0.9600186,0.9777462
191,No Empirical,Bounded NBD,Very High,High,50000,0.9966091,0.8235922,0.9018777
