,model,prior,duplicates_level,distortion_level,precision,recall,f1score,date
768,No Empiri,BNBD4,Medium,High,0.9825,0.7271045,0.8357257,Wed_Mar__6_22_23_07_2024
769,No Empiri,BNBD4,Medium,High,0.9812265,0.7252544,0.8340426,Wed_Mar_13_00_52_23_2024
770,No Empiri,BNBD4,Medium,Low,0.9980573,0.9553696,0.976247,Fri_Mar__8_14_25_06_2024
771,No Empiri,BNBD4,Medium,Low,0.9975752,0.9562994,0.9765013,Wed_Mar__6_22_22_46_2024
772,No Empiri,BNBD4,Medium,Low,0.9975752,0.9562994,0.9765013,Fri_Mar__8_06_38_51_2024
773,No Empiri,BNBD4,Medium,Low,0.9961409,0.9600186,0.9777462,Mon_Feb_12_10_13_28_2024
774,No Empiri,BNBD4,Medium,Low,0.998063,0.958159,0.977704,Wed_Mar__6_22_22_48_2024
775,No Empiri,BNBD4,Medium,Low,0.9966036,0.9549047,0.9753086,Fri_Mar__8_10_50_29_2024
776,No Empiri,BNBD4,Medium,Low,0.99662,0.9595537,0.9777357,Sun_Mar_10_04_22_40_2024
777,No Empiri,BNBD4,Medium,Low,0.9975775,0.9572292,0.976987,Wed_Mar__6_22_23_07_2024
778,No Empiri,BNBD4,Medium,Low,0.9961353,0.9586239,0.9770197,Wed_Mar__6_22_22_57_2024
779,No Empiri,BNBD4,Medium,Low,0.9966134,0.9576941,0.9767662,Fri_Mar__8_04_02_16_2024
780,No Empiri,BNBD4,Very High,High,0.9977291,0.82079,0.9006516,Fri_Mar__8_14_25_26_2024
781,No Empiri,BNBD4,Very High,High,0.9970874,0.8222578,0.9012725,Wed_Mar__6_22_23_29_2024
782,No Empiri,BNBD4,Very High,High,0.9970798,0.8201228,0.8999854,Wed_Mar__6_22_23_08_2024
783,No Empiri,BNBD4,Very High,High,0.9967559,0.8199893,0.899773,Fri_Mar__8_06_39_14_2024
784,No Empiri,BNBD4,Very High,High,0.9966091,0.8235922,0.9018777,Mon_Feb_19_22_37_52_2024
785,No Empiri,BNBD4,Very High,High,0.9980608,0.824126,0.902792,Sun_Mar_10_04_23_09_2024
786,No Empiri,BNBD4,Very High,High,0.9975637,0.819589,0.8998608,Fri_Mar__8_10_51_14_2024
787,No Empiri,BNBD4,Very High,High,0.9964419,0.8221244,0.9009286,Wed_Mar__6_22_23_12_2024
788,No Empiri,BNBD4,Very High,High,0.9970963,0.8247932,0.902797,Fri_Mar__8_04_02_34_2024
789,No Empiri,BNBD4,Very High,High,0.9977287,0.8206565,0.9005711,Fri_Mar_15_21_23_25_2024
790,No Empiri,BNBD4,Very High,Low,1.0,0.9538297,0.9763693,Fri_Mar__8_14_25_11_2024
791,No Empiri,BNBD4,Very High,Low,1.0,0.9538297,0.9763693,Wed_Mar__6_22_23_03_2024
