,model,cluster_size,num_iter,duplicates_level,distortion_level,precision,recall,f1score,date
287,Both,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_13_23_02_2024
320,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_46_30_2024
330,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_09_34_2024
331,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_23_06_2024
336,Both,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_11_58_12_2024
341,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_34_27_2024
342,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_21_08_2024
343,Both,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_12_32_40_2024
387,Both,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_11_23_16_2024
388,Both,2,10000,Low,Low,0.9491525,0.8888889,0.9180328,Wed_Mar__6_11_47_43_2024
389,Both,2,10000,Low,Low,0.9649123,0.8730159,0.9166667,Wed_Mar__6_12_11_25_2024
397,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_59_46_2024
398,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_35_34_2024
1,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_11_53_29_2024
4,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_12_56_53_2024
13,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_14_05_20_2024
14,Both,2,10000,Medium,Low,1.0,0.5333333,0.6956522,Wed_Mar__6_12_25_10_2024
15,Both,2,10000,Medium,Low,1.0,0.5333333,0.6956522,Wed_Mar__6_13_31_25_2024
21,Both,2,10000,Medium,Low,1.0,0.5333333,0.6956522,Wed_Mar__6_11_21_56_2024
54,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_12_50_26_2024
65,Both,2,10000,Medium,Low,1.0,0.5333333,0.6956522,Wed_Mar__6_13_35_28_2024
67,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_11_56_55_2024
69,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_11_22_42_2024
71,Both,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_13_13_00_2024
75,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_13_57_56_2024
76,Both,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_12_25_13_2024
