,model,prior,duplicates_level,distortion_level,replicates,precision,recall,f1score,date,num_iter
114,Both,Pitman,Very High,Low,35,1.0,0.9230769,0.96,Wed_Feb_28_18_38_49_2024,
115,Both,Pitman,High,High,35,1.0,0.6858513,0.8136558,Thu_Feb_29_00_25_00_2024,
116,Both,Pitman,Very High,High,35,1.0,0.7102616,0.8305882,Thu_Feb_29_00_25_03_2024,
117,Both,Pitman,Low,High,35,1.0,0.75,0.8571429,Thu_Feb_29_00_24_54_2024,
118,Both,Pitman,High,Low,35,1.0,0.9392971,0.9686985,Wed_Feb_28_18_38_45_2024,
119,Both,Pitman,Low,Low,35,0.9836066,0.952381,0.9677419,Wed_Feb_28_18_38_40_2024,
120,Both,Pitman,Very High,High,36,1.0,0.8081824,0.8939169,Thu_Feb_29_12_47_14_2024,
121,Both,Pitman,Medium,High,36,0.9889197,0.7330595,0.8419811,Thu_Feb_29_12_47_09_2024,
122,Both,Pitman,Medium,Low,36,1.0,0.9292929,0.9633508,Wed_Feb_28_18_38_09_2024,
123,Both,Pitman,Very High,Low,36,1.0,0.921762,0.9592884,Wed_Feb_28_18_38_16_2024,
124,Both,Pitman,High,Low,36,1.0,0.9353035,0.9665704,Wed_Feb_28_18_38_13_2024,
125,Both,Pitman,High,High,36,1.0,0.6794564,0.8091385,Thu_Feb_29_12_47_11_2024,
126,Both,Pitman,Low,Low,36,0.9836066,0.952381,0.9677419,Wed_Feb_28_18_38_06_2024,
127,Both,Pitman,Low,High,36,1.0,0.75,0.8571429,Thu_Feb_29_12_47_07_2024,
128,Both,Pitman,Medium,Low,37,1.0,0.9232323,0.960084,Wed_Feb_28_19_38_47_2024,
129,Both,Pitman,Very High,High,37,1.0,0.7176392,0.8356111,Thu_Feb_29_12_47_27_2024,
130,Both,Pitman,Very High,Low,37,1.0,0.921762,0.9592884,Wed_Feb_28_19_38_50_2024,
131,Both,Pitman,High,Low,37,1.0,0.936901,0.9674227,Wed_Feb_28_19_38_49_2024,
132,Both,Pitman,Low,Low,37,0.9836066,0.952381,0.9677419,Wed_Feb_28_19_38_44_2024,
133,Both,Pitman,Medium,High,37,0.9916667,0.7330595,0.8429752,Thu_Feb_29_12_47_23_2024,
134,Both,Pitman,High,High,37,1.0,0.6842526,0.8125297,Thu_Feb_29_12_47_25_2024,
135,Both,Pitman,Low,High,37,1.0,0.7333333,0.8461538,Thu_Feb_29_12_47_21_2024,
136,Both,Pitman,Low,Low,38,0.9836066,0.952381,0.9677419,Wed_Feb_28_19_39_22_2024,
137,Both,Pitman,Medium,High,38,0.9917582,0.7412731,0.8484136,Thu_Feb_29_09_37_20_2024,
138,Both,Pitman,High,Low,38,1.0,0.936901,0.9674227,Wed_Feb_28_19_39_26_2024,
139,Both,Pitman,High,High,38,1.0,0.6810552,0.810271,Thu_Feb_29_09_37_23_2024,
140,Both,Pitman,Very High,Low,38,1.0,0.921762,0.9592884,Wed_Feb_28_19_39_29_2024,
141,Both,Pitman,Medium,Low,38,1.0,0.9232323,0.960084,Wed_Feb_28_19_39_24_2024,
142,Both,Pitman,Very High,High,38,1.0,0.7149564,0.8337896,Thu_Feb_29_09_37_25_2024,
143,Both,Pitman,Low,High,38,1.0,0.75,0.8571429,Thu_Feb_29_09_37_16_2024,
144,Both,Pitman,Very High,Low,39,1.0,0.921762,0.9592884,Wed_Feb_28_19_39_54_2024,
145,Both,Pitman,High,High,39,1.0,0.685052,0.813093,Thu_Feb_29_09_36_45_2024,
146,Both,Pitman,High,Low,39,1.0,0.9353035,0.9665704,Wed_Feb_28_19_39_51_2024,
147,Both,Pitman,Medium,High,39,0.9889503,0.7351129,0.8433451,Thu_Feb_29_09_36_41_2024,
148,Both,Pitman,Low,High,39,1.0,0.75,0.8571429,Thu_Feb_29_09_36_40_2024,
149,Both,Pitman,Medium,Low,39,1.0,0.9232323,0.960084,Wed_Feb_28_19_39_47_2024,
150,Both,Pitman,Low,Low,39,0.9836066,0.952381,0.9677419,Wed_Feb_28_19_39_44_2024,
151,Both,Pitman,Very High,High,39,0.997191,0.7142857,0.8323564,Thu_Feb_29_09_36_48_2024,
152,Both,Pitman,High,Low,40,1.0,0.936901,0.9674227,Wed_Feb_28_19_40_17_2024,
153,Both,Pitman,Medium,Low,40,1.0,0.9232323,0.960084,Wed_Feb_28_19_40_13_2024,
154,Both,Pitman,Very High,Low,40,1.0,0.921762,0.9592884,Wed_Feb_28_19_40_18_2024,
155,Both,Pitman,High,High,40,1.0,0.6818545,0.8108365,Thu_Feb_29_16_26_24_2024,
156,Both,Pitman,Medium,High,40,0.9916898,0.7351129,0.8443396,Thu_Feb_29_16_26_21_2024,
157,Both,Pitman,Low,High,40,1.0,0.75,0.8571429,Thu_Feb_29_16_26_19_2024,
158,Both,Pitman,Low,Low,40,0.9836066,0.952381,0.9677419,Wed_Feb_28_19_40_10_2024,
159,Both,Pitman,Very High,High,40,1.0,0.7169685,0.8351563,Thu_Feb_29_16_26_24_2024,
160,Both,Pitman,High,Low,41,1.0,0.9384984,0.9682736,Wed_Feb_28_20_03_05_2024,
161,Both,Pitman,Medium,Low,41,0.997807,0.9191919,0.9568875,Wed_Feb_28_20_03_02_2024,
162,Both,Pitman,Low,High,41,1.0,0.75,0.8571429,Thu_Feb_29_16_22_14_2024,
163,Both,Pitman,Low,Low,41,0.9836066,0.952381,0.9677419,Wed_Feb_28_20_03_00_2024,
164,Both,Pitman,Medium,High,41,0.9889807,0.7371663,0.8447059,Thu_Feb_29_16_22_16_2024,
165,Both,Pitman,High,High,41,1.0,0.7330136,0.845941,Thu_Feb_29_16_22_20_2024,
166,Both,Pitman,Very High,Low,41,1.0,0.921762,0.9592884,Wed_Feb_28_20_03_06_2024,
167,Both,Pitman,Very High,High,41,1.0,0.7203219,0.8374269,Thu_Feb_29_16_22_22_2024,
168,Both,Pitman,High,Low,42,1.0,0.9353035,0.9665704,Wed_Feb_28_20_04_19_2024,
169,Both,Pitman,Very High,High,42,1.0,0.741784,0.851752,Thu_Feb_29_12_44_31_2024,
170,Both,Pitman,Low,High,42,1.0,0.7166667,0.8349515,Thu_Feb_29_12_44_22_2024,
171,Both,Pitman,Medium,Low,42,1.0,0.9232323,0.960084,Wed_Feb_28_20_04_18_2024,
172,Both,Pitman,High,High,42,1.0,0.685052,0.813093,Thu_Feb_29_12_44_27_2024,
173,Both,Pitman,Low,Low,42,0.9836066,0.952381,0.9677419,Wed_Feb_28_20_04_14_2024,
174,Both,Pitman,Medium,High,42,0.9916898,0.7351129,0.8443396,Thu_Feb_29_12_44_25_2024,
175,Both,Pitman,Very High,Low,42,1.0,0.9237344,0.9603554,Wed_Feb_28_20_04_22_2024,
176,Both,Pitman,Low,High,43,1.0,0.75,0.8571429,Thu_Feb_29_12_44_30_2024,
177,Both,Pitman,Low,Low,43,0.9836066,0.952381,0.9677419,Wed_Feb_28_20_05_49_2024,
178,Both,Pitman,Very High,High,43,1.0,0.7162978,0.8347011,Thu_Feb_29_12_44_36_2024,
179,Both,Pitman,Very High,Low,43,1.0,0.9237344,0.9603554,Wed_Feb_28_20_05_56_2024,
180,Both,Pitman,High,Low,43,1.0,0.9353035,0.9665704,Wed_Feb_28_20_05_53_2024,
181,Both,Pitman,Medium,High,43,0.9888579,0.7289528,0.8392435,Thu_Feb_29_12_44_32_2024,
182,Both,Pitman,High,High,43,1.0,0.6834532,0.8119658,Thu_Feb_29_12_44_34_2024,
183,Both,Pitman,Medium,Low,43,1.0,0.9333333,0.9655172,Wed_Feb_28_20_05_52_2024,
184,Both,Pitman,Low,High,44,1.0,0.75,0.8571429,Thu_Feb_29_16_22_24_2024,
185,Both,Pitman,High,High,44,1.0,0.6826539,0.8114014,Thu_Feb_29_16_22_30_2024,
186,Both,Pitman,High,Low,44,1.0,0.936901,0.9674227,Wed_Feb_28_20_06_17_2024,
187,Both,Pitman,Medium,Low,44,1.0,0.9292929,0.9633508,Wed_Feb_28_20_06_14_2024,
188,Both,Pitman,Medium,High,44,0.9917582,0.7412731,0.8484136,Thu_Feb_29_16_22_27_2024,
189,Both,Pitman,Very High,Low,44,1.0,0.9237344,0.9603554,Wed_Feb_28_20_06_18_2024,
190,Both,Pitman,Very High,High,44,1.0,0.7109323,0.8310466,Thu_Feb_29_16_22_32_2024,
191,Both,Pitman,Low,Low,44,0.9836066,0.952381,0.9677419,Wed_Feb_28_20_06_12_2024,
192,Both,Pitman,Very High,High,45,1.0,0.8061704,0.8926847,Thu_Feb_29_16_25_51_2024,
193,Both,Pitman,Very High,Low,45,1.0,0.921762,0.9592884,Wed_Feb_28_20_26_34_2024,
194,Both,Pitman,Low,High,45,1.0,0.7333333,0.8461538,Thu_Feb_29_16_25_46_2024,
195,Both,Pitman,Medium,High,45,0.9916898,0.7351129,0.8443396,Thu_Feb_29_16_25_48_2024,
196,Both,Pitman,High,Low,45,1.0,0.9384984,0.9682736,Wed_Feb_28_20_26_32_2024,
197,Both,Pitman,High,High,45,1.0,0.6834532,0.8119658,Thu_Feb_29_16_25_50_2024,
198,Both,Pitman,Low,Low,45,0.9836066,0.952381,0.9677419,Wed_Feb_28_20_26_26_2024,
199,Both,Pitman,Medium,Low,45,1.0,0.9191919,0.9578947,Wed_Feb_28_20_26_29_2024,
200,Both,Pitman,Medium,High,46,0.9917808,0.7433265,0.8497653,Thu_Feb_29_16_27_50_2024,
201,Both,Pitman,Very High,Low,46,1.0,0.9211045,0.9589322,Wed_Feb_28_20_26_53_2024,
202,Both,Pitman,Medium,Low,46,1.0,0.9232323,0.960084,Wed_Feb_28_20_26_48_2024,
203,Both,Pitman,Low,Low,46,0.9836066,0.952381,0.9677419,Wed_Feb_28_20_26_46_2024,
204,Both,Pitman,High,High,46,1.0,0.6842526,0.8125297,Thu_Feb_29_16_27_53_2024,
205,Both,Pitman,Very High,High,46,0.9975021,0.8034876,0.8900446,Thu_Feb_29_16_27_54_2024,
206,Both,Pitman,Low,High,46,1.0,0.7166667,0.8349515,Thu_Feb_29_16_27_47_2024,
207,Both,Pitman,High,Low,46,1.0,0.9353035,0.9665704,Wed_Feb_28_20_26_51_2024,
208,Both,Pitman,High,Low,47,1.0,0.936901,0.9674227,Wed_Feb_28_20_31_16_2024,
209,Both,Pitman,Medium,High,47,0.9917355,0.7392197,0.8470588,Thu_Feb_29_16_26_28_2024,
210,Both,Pitman,Very High,Low,47,1.0,0.921762,0.9592884,Wed_Feb_28_20_31_20_2024,
211,Both,Pitman,Low,High,47,1.0,0.75,0.8571429,Thu_Feb_29_16_26_25_2024,
212,Both,Pitman,High,High,47,1.0,0.6898481,0.8164617,Thu_Feb_29_16_26_30_2024,
213,Both,Pitman,Medium,Low,47,1.0,0.9232323,0.960084,Wed_Feb_28_20_31_14_2024,
214,Both,Pitman,Very High,High,47,1.0,0.711603,0.8315047,Thu_Feb_29_16_26_31_2024,
